Sales Person,Country,Product,Date, Amount ,Boxes Shipped
Ches Bonnell,UK,Mint Chip Choco,8/4/2024,2984,214
Husein Augar,Australia,50% Dark Bites,8/19/2024,15594,56
Jan Morforth,India,Fruit & Nut Bars,4/5/2024,3388,60
Mallorie Waber,USA,85% Dark Bars,11/5/2024,2847,115
Mallorie Waber,USA,Eclairs,3/22/2024,7512,49
Dennison Crosswaite,Canada,Spicy Special Slims,10/8/2024,2712,216
Dennison Crosswaite,USA,Fruit & Nut Bars,4/5/2024,1673,314
Kelci Walkden,USA,99% Dark & Pure,8/18/2024,8853,261
Dotty Strutley,Canada,Raspberry Choco,3/8/2024,4722,258
Marney O'Breen,New Zealand,Milk Bars,1/14/2024,8408,318
Madelene Upcott,Australia,Choco Coated Almonds,8/4/2024,2442,78
Kelci Walkden,UK,Orange Choco,1/8/2024,4010,3
Dennison Crosswaite,Canada,Eclairs,3/15/2024,492,45
Karlen McCaffrey,India,Mint Chip Choco,7/15/2024,11651,192
Barr Faughny,New Zealand,Almond Choco,1/13/2024,6426,132
Mallorie Waber,Australia,85% Dark Bars,8/26/2024,2665,54
Ches Bonnell,Canada,Eclairs,10/1/2024,2049,170
Gigi Bohling,Australia,White Choc,11/5/2024,6267,83
Beverie Moffet,New Zealand,85% Dark Bars,8/30/2024,12886,21
Kaine Padly,USA,Caramel Stuffed Bars,7/21/2024,6144,117
Mallorie Waber,Australia,Almond Choco,1/8/2024,8274,130
Brien Boise,Canada,85% Dark Bars,2/17/2024,12164,264
Brien Boise,Australia,Drinking Coco,7/27/2024,7192,159
Dotty Strutley,USA,Orange Choco,2/23/2024,1453,112
Rafaelita Blaksland,Australia,50% Dark Bites,3/22/2024,3376,41
Dennison Crosswaite,India,99% Dark & Pure,6/23/2024,8329,327
Curtice Advani,UK,White Choc,1/2/2024,1635,70
Kelci Walkden,Australia,After Nines,2/3/2024,8265,298
Gigi Bohling,UK,Fruit & Nut Bars,6/4/2024,1448,92
Gunar Cockshoot,Australia,Raspberry Choco,3/17/2024,710,77
Curtice Advani,UK,Fruit & Nut Bars,6/24/2024,12197,135
Barr Faughny,Canada,50% Dark Bites,7/19/2024,10918,302
Curtice Advani,USA,Spicy Special Slims,11/7/2024,1680,287
Brien Boise,India,Almond Choco,1/13/2024,2303,225
Oby Sorrel,New Zealand,Smooth Sliky Salty,7/7/2024,9261,65
Jan Morforth,India,85% Dark Bars,5/25/2024,5253,415
Marney O'Breen,India,Fruit & Nut Bars,4/13/2024,5386,161
Andria Kimpton,New Zealand,50% Dark Bites,2/3/2024,3741,222
Gunar Cockshoot,Canada,Raspberry Choco,6/23/2024,2223,127
Kelci Walkden,USA,Drinking Coco,7/26/2024,7720,156
Van Tuxwell,Canada,White Choc,3/22/2024,468,3
Rafaelita Blaksland,USA,Baker's Choco Chips,9/6/2024,3083,55
Van Tuxwell,Australia,Caramel Stuffed Bars,5/17/2024,6899,58
Ches Bonnell,New Zealand,Peanut Butter Cubes,4/3/2024,1036,291
Kelci Walkden,Canada,Milk Bars,7/7/2024,17518,28
Dennison Crosswaite,Canada,Choco Coated Almonds,1/13/2024,11692,128
Curtice Advani,Australia,Almond Choco,7/13/2024,3137,74
Madelene Upcott,Australia,85% Dark Bars,6/16/2024,1678,325
Gigi Bohling,UK,50% Dark Bites,7/18/2024,8937,66
Ches Bonnell,UK,Manuka Honey Choco,5/30/2024,4761,406
Gigi Bohling,UK,70% Dark Bites,6/21/2024,942,84
Jehu Rudeforth,Australia,Peanut Butter Cubes,6/24/2024,6623,39
Marney O'Breen,India,Eclairs,1/13/2024,4067,94
Curtice Advani,Canada,Fruit & Nut Bars,4/4/2024,4713,211
Kaine Padly,UK,Smooth Sliky Salty,8/6/2024,9571,594
Karlen McCaffrey,Canada,Spicy Special Slims,2/8/2024,6780,46
Kelci Walkden,USA,Organic Choco Syrup,7/21/2024,10772,150
Curtice Advani,India,Spicy Special Slims,6/20/2024,189,140
Roddy Speechley,India,After Nines,6/22/2024,3015,115
Camilla Castle,Australia,Caramel Stuffed Bars,2/5/2024,3538,16
Curtice Advani,Australia,99% Dark & Pure,7/1/2024,5197,87
Mallorie Waber,UK,50% Dark Bites,2/21/2024,6654,102
Ches Bonnell,Canada,Baker's Choco Chips,3/21/2024,8639,402
Van Tuxwell,UK,Drinking Coco,4/4/2024,6397,136
Gunar Cockshoot,Canada,Fruit & Nut Bars,3/24/2024,14596,196
Gunar Cockshoot,New Zealand,Spicy Special Slims,6/28/2024,7713,192
Gunar Cockshoot,Australia,Drinking Coco,1/14/2024,2457,188
Karlen McCaffrey,New Zealand,Fruit & Nut Bars,7/2/2024,1435,138
Dennison Crosswaite,New Zealand,Drinking Coco,11/1/2024,4324,202
Jehu Rudeforth,India,99% Dark & Pure,2/25/2024,2208,247
Dotty Strutley,Australia,Mint Chip Choco,1/8/2024,7572,26
Roddy Speechley,Australia,Mint Chip Choco,5/5/2024,7190,262
Madelene Upcott,New Zealand,Raspberry Choco,5/18/2024,10858,451
Dotty Strutley,New Zealand,Choco Coated Almonds,4/1/2024,6525,369
Roddy Speechley,New Zealand,50% Dark Bites,9/5/2024,4624,212
Rafaelita Blaksland,India,Smooth Sliky Salty,6/5/2024,1962,80
Husein Augar,UK,White Choc,1/13/2024,12783,158
Roddy Speechley,Australia,Almond Choco,6/24/2024,4928,71
Van Tuxwell,USA,Caramel Stuffed Bars,2/14/2024,1116,22
Camilla Castle,Australia,99% Dark & Pure,1/18/2024,5347,109
Kaine Padly,India,Milk Bars,2/5/2024,3168,93
Ches Bonnell,Australia,Smooth Sliky Salty,5/16/2024,9008,52
Mallorie Waber,USA,Almond Choco,1/28/2024,7400,383
Kaine Padly,Canada,99% Dark & Pure,6/24/2024,1420,422
Oby Sorrel,UK,After Nines,7/18/2024,2556,109
Gunar Cockshoot,UK,Eclairs,4/13/2024,4060,175
Dotty Strutley,USA,Caramel Stuffed Bars,4/15/2024,18581,83
Jan Morforth,India,Peanut Butter Cubes,4/1/2024,8814,182
Husein Augar,Australia,Eclairs,4/7/2024,7915,31
Beverie Moffet,USA,Smooth Sliky Salty,3/24/2024,2788,342
Camilla Castle,Australia,Manuka Honey Choco,3/17/2024,682,170
Oby Sorrel,Australia,Almond Choco,2/15/2024,6828,241
Jan Morforth,USA,Orange Choco,6/29/2024,1082,158
Gigi Bohling,USA,Fruit & Nut Bars,5/24/2024,2967,121
Mallorie Waber,UK,Milk Bars,10/1/2024,3952,287
Curtice Advani,USA,Raspberry Choco,3/15/2024,3151,144
Marney O'Breen,Canada,Milk Bars,8/2/2024,2673,317
Brien Boise,India,Caramel Stuffed Bars,2/25/2024,1742,106
Gunar Cockshoot,USA,Eclairs,3/5/2024,7301,42
Roddy Speechley,USA,Fruit & Nut Bars,6/14/2024,6322,26
Gunar Cockshoot,India,50% Dark Bites,9/8/2024,13731,82
Wilone O'Kielt,New Zealand,Manuka Honey Choco,11/7/2024,4052,253
Kaine Padly,UK,Manuka Honey Choco,1/14/2024,8475,115
Van Tuxwell,Canada,Manuka Honey Choco,2/24/2024,9427,49
Wilone O'Kielt,New Zealand,Almond Choco,3/15/2024,9770,154
Oby Sorrel,New Zealand,Baker's Choco Chips,4/25/2024,14235,45
Dennison Crosswaite,Australia,Organic Choco Syrup,10/5/2024,6885,40
Marney O'Breen,Australia,Spicy Special Slims,6/23/2024,14688,293
Beverie Moffet,Canada,Smooth Sliky Salty,2/28/2024,16585,388
Brien Boise,USA,Organic Choco Syrup,5/25/2024,17416,148
Roddy Speechley,New Zealand,Baker's Choco Chips,2/22/2024,5954,236
Van Tuxwell,UK,85% Dark Bars,11/7/2024,4180,140
Marney O'Breen,Canada,Spicy Special Slims,3/1/2024,3940,365
Rafaelita Blaksland,New Zealand,70% Dark Bites,8/24/2024,791,280
Beverie Moffet,USA,50% Dark Bites,7/28/2024,2942,360
Brien Boise,USA,Mint Chip Choco,5/25/2024,12477,162
Karlen McCaffrey,New Zealand,Eclairs,6/5/2024,2817,191
Barr Faughny,India,Drinking Coco,1/28/2024,2412,144
Marney O'Breen,UK,Orange Choco,6/6/2024,13073,11
Brien Boise,New Zealand,Baker's Choco Chips,12/7/2024,6790,26
Ches Bonnell,Canada,Spicy Special Slims,5/8/2024,6092,201
Brien Boise,USA,Orange Choco,1/28/2024,7186,152
Kaine Padly,India,Spicy Special Slims,8/31/2024,6171,138
Mallorie Waber,USA,50% Dark Bites,4/19/2024,1945,14
Mallorie Waber,UK,Mint Chip Choco,6/29/2024,6767,2
Beverie Moffet,India,Choco Coated Almonds,2/24/2024,3912,254
Madelene Upcott,UK,Smooth Sliky Salty,4/3/2024,16734,88
Gigi Bohling,India,Eclairs,6/21/2024,3917,74
Rafaelita Blaksland,Australia,Organic Choco Syrup,1/26/2024,1083,106
Oby Sorrel,New Zealand,White Choc,10/6/2024,4822,42
Andria Kimpton,UK,Drinking Coco,5/23/2024,1827,66
Kelci Walkden,India,Milk Bars,4/15/2024,1142,111
Karlen McCaffrey,New Zealand,Caramel Stuffed Bars,1/31/2024,6291,232
Andria Kimpton,New Zealand,Organic Choco Syrup,4/3/2024,5616,43
Barr Faughny,New Zealand,After Nines,4/19/2024,11251,91
Beverie Moffet,UK,Almond Choco,5/16/2024,2799,104
Oby Sorrel,Australia,Raspberry Choco,2/17/2024,1158,114
Dennison Crosswaite,USA,Raspberry Choco,1/18/2024,7049,273
Roddy Speechley,Canada,Orange Choco,9/2/2024,9461,84
Mallorie Waber,Canada,Orange Choco,3/23/2024,4174,175
Madelene Upcott,New Zealand,Caramel Stuffed Bars,1/2/2024,4005,150
Mallorie Waber,India,Drinking Coco,7/3/2024,4651,143
Ches Bonnell,UK,White Choc,3/1/2024,3815,220
Ches Bonnell,USA,White Choc,11/2/2024,6321,325
Dennison Crosswaite,New Zealand,Orange Choco,3/16/2024,5246,144
Dotty Strutley,India,White Choc,8/15/2024,12999,317
Gigi Bohling,India,Manuka Honey Choco,12/5/2024,5932,79
Van Tuxwell,India,Spicy Special Slims,11/4/2024,6812,4
Jan Morforth,New Zealand,Mint Chip Choco,6/30/2024,21381,311
Dotty Strutley,New Zealand,White Choc,6/15/2024,8423,63
Rafaelita Blaksland,Canada,Caramel Stuffed Bars,1/8/2024,7951,109
Kaine Padly,USA,Milk Bars,6/15/2024,18389,62
Brien Boise,India,After Nines,6/16/2024,6555,45
Oby Sorrel,New Zealand,Raspberry Choco,5/13/2024,5130,270
Dennison Crosswaite,USA,Drinking Coco,10/5/2024,2399,149
Oby Sorrel,India,Eclairs,8/25/2024,6097,344
Ches Bonnell,New Zealand,Organic Choco Syrup,7/15/2024,8135,83
Gigi Bohling,UK,Baker's Choco Chips,5/16/2024,9970,449
Jan Morforth,Australia,50% Dark Bites,6/14/2024,3894,173
Beverie Moffet,Australia,Smooth Sliky Salty,1/25/2024,11533,491
Ches Bonnell,USA,Organic Choco Syrup,7/28/2024,8754,14
Brien Boise,Canada,Mint Chip Choco,1/28/2024,5476,194
Kaine Padly,UK,Orange Choco,6/29/2024,2253,196
Karlen McCaffrey,Australia,70% Dark Bites,6/24/2024,279,332
Gunar Cockshoot,Canada,Mint Chip Choco,1/7/2024,8937,442
Roddy Speechley,USA,Peanut Butter Cubes,2/25/2024,2010,144
Curtice Advani,Canada,Smooth Sliky Salty,1/8/2024,2902,12
Oby Sorrel,Australia,Milk Bars,6/21/2024,9231,278
Camilla Castle,New Zealand,Spicy Special Slims,1/25/2024,12745,26
Gigi Bohling,UK,Milk Bars,5/17/2024,1437,248
Andria Kimpton,Australia,85% Dark Bars,8/23/2024,4900,254
Camilla Castle,Australia,Smooth Sliky Salty,3/3/2024,8263,129
Roddy Speechley,India,Caramel Stuffed Bars,5/30/2024,10140,552
Karlen McCaffrey,USA,Drinking Coco,6/29/2024,133,243
Andria Kimpton,Canada,Organic Choco Syrup,4/1/2024,9480,217
Jehu Rudeforth,Australia,Drinking Coco,1/14/2024,3115,65
Karlen McCaffrey,USA,Mint Chip Choco,2/15/2024,17866,58
Curtice Advani,New Zealand,Spicy Special Slims,10/1/2024,4651,494
Madelene Upcott,USA,White Choc,4/5/2024,14360,218
Andria Kimpton,USA,Spicy Special Slims,5/23/2024,2596,5
Barr Faughny,New Zealand,Fruit & Nut Bars,4/26/2024,1853,153
Oby Sorrel,Canada,Organic Choco Syrup,5/7/2024,1393,70
Madelene Upcott,UK,Organic Choco Syrup,7/21/2024,7943,174
Dotty Strutley,USA,Mint Chip Choco,2/21/2024,5553,272
Kelci Walkden,USA,Orange Choco,3/2/2024,1539,143
Gigi Bohling,Australia,Caramel Stuffed Bars,8/7/2024,9118,154
Mallorie Waber,India,50% Dark Bites,5/31/2024,631,140
Van Tuxwell,New Zealand,Mint Chip Choco,6/27/2024,4486,104
Van Tuxwell,India,50% Dark Bites,5/13/2024,5591,132
Van Tuxwell,USA,Manuka Honey Choco,5/31/2024,2663,102
Wilone O'Kielt,USA,Orange Choco,2/28/2024,7482,38
Barr Faughny,New Zealand,Eclairs,3/28/2024,7418,31
Gigi Bohling,USA,After Nines,1/14/2024,1969,235
Barr Faughny,New Zealand,Mint Chip Choco,2/21/2024,7198,159
Dennison Crosswaite,Canada,85% Dark Bars,1/8/2024,11719,87
Beverie Moffet,New Zealand,Smooth Sliky Salty,5/19/2024,2755,63
Husein Augar,USA,White Choc,7/13/2024,2439,61
Andria Kimpton,Australia,Peanut Butter Cubes,4/20/2024,7662,144
Dennison Crosswaite,India,85% Dark Bars,6/30/2024,4886,23
Curtice Advani,UK,50% Dark Bites,8/3/2024,3572,156
Gunar Cockshoot,USA,Fruit & Nut Bars,9/3/2024,6938,94
Oby Sorrel,Canada,Raspberry Choco,6/16/2024,1941,221
Gigi Bohling,UK,Drinking Coco,6/30/2024,6173,46
Kelci Walkden,India,Mint Chip Choco,7/28/2024,3105,116
Karlen McCaffrey,Canada,Peanut Butter Cubes,12/8/2024,3692,154
Barr Faughny,UK,Mint Chip Choco,7/7/2024,3951,324
Barr Faughny,USA,85% Dark Bars,8/25/2024,13497,49
Husein Augar,Canada,Eclairs,1/17/2024,4389,241
Jan Morforth,Australia,70% Dark Bites,4/3/2024,6311,366
Marney O'Breen,New Zealand,Fruit & Nut Bars,8/25/2024,9693,4
Ches Bonnell,UK,Peanut Butter Cubes,4/15/2024,2348,266
Kaine Padly,USA,Organic Choco Syrup,11/3/2024,2519,24
Camilla Castle,USA,Raspberry Choco,5/20/2024,3517,17
Brien Boise,New Zealand,Manuka Honey Choco,6/14/2024,16807,44
Jehu Rudeforth,New Zealand,After Nines,4/14/2024,1737,70
Jehu Rudeforth,USA,Smooth Sliky Salty,7/7/2024,7900,168
Madelene Upcott,India,Mint Chip Choco,8/24/2024,4017,71
Jehu Rudeforth,India,Eclairs,2/24/2024,9643,140
Karlen McCaffrey,Canada,Raspberry Choco,9/5/2024,774,217
Kaine Padly,Australia,70% Dark Bites,8/2/2024,7852,240
Roddy Speechley,UK,70% Dark Bites,3/24/2024,1650,293
Rafaelita Blaksland,USA,Drinking Coco,6/20/2024,9333,78
Mallorie Waber,Canada,Manuka Honey Choco,7/3/2024,1540,117
Kaine Padly,Australia,Fruit & Nut Bars,6/20/2024,7841,82
Oby Sorrel,New Zealand,Organic Choco Syrup,2/17/2024,17103,267
Madelene Upcott,UK,99% Dark & Pure,1/26/2024,11496,49
Madelene Upcott,Australia,Mint Chip Choco,2/5/2024,3073,166
Curtice Advani,Canada,99% Dark & Pure,7/7/2024,14991,7
Rafaelita Blaksland,Australia,Baker's Choco Chips,8/22/2024,3170,49
Karlen McCaffrey,Australia,After Nines,11/8/2024,2528,67
Marney O'Breen,UK,99% Dark & Pure,1/13/2024,8552,208
Gunar Cockshoot,Australia,50% Dark Bites,2/3/2024,13073,119
Marney O'Breen,Australia,Choco Coated Almonds,7/27/2024,11987,41
Kelci Walkden,New Zealand,Drinking Coco,10/3/2024,18385,116
Beverie Moffet,USA,85% Dark Bars,8/23/2024,14028,344
Roddy Speechley,USA,Eclairs,4/25/2024,4813,169
Dennison Crosswaite,UK,Milk Bars,7/3/2024,11964,446
Wilone O'Kielt,UK,Organic Choco Syrup,12/7/2024,5575,52
Madelene Upcott,USA,Orange Choco,5/16/2024,9205,144
Gunar Cockshoot,India,Smooth Sliky Salty,2/3/2024,4134,69
Marney O'Breen,New Zealand,85% Dark Bars,5/30/2024,1312,164
Marney O'Breen,UK,Manuka Honey Choco,10/6/2024,11736,185
Brien Boise,USA,99% Dark & Pure,7/25/2024,7651,358
Beverie Moffet,New Zealand,Mint Chip Choco,9/6/2024,4995,98
Dennison Crosswaite,USA,Milk Bars,12/5/2024,891,62
Gunar Cockshoot,USA,Drinking Coco,9/5/2024,4142,5
Brien Boise,Canada,Manuka Honey Choco,9/8/2024,7308,178
Van Tuxwell,India,Choco Coated Almonds,4/13/2024,6834,115
Andria Kimpton,USA,Caramel Stuffed Bars,2/5/2024,8878,47
Dotty Strutley,USA,99% Dark & Pure,9/8/2024,4135,307
Camilla Castle,Australia,Raspberry Choco,8/23/2024,6642,188
Gunar Cockshoot,India,Spicy Special Slims,5/13/2024,7117,174
Karlen McCaffrey,USA,Manuka Honey Choco,1/2/2024,11816,68
Camilla Castle,USA,50% Dark Bites,6/23/2024,6963,303
Madelene Upcott,UK,Choco Coated Almonds,5/24/2024,11786,147
Jan Morforth,Canada,Mint Chip Choco,1/4/2024,1200,224
Camilla Castle,Canada,70% Dark Bites,7/27/2024,10791,166
Ches Bonnell,India,Peanut Butter Cubes,1/27/2024,26171,224
Jan Morforth,India,Choco Coated Almonds,12/8/2024,2988,136
Gigi Bohling,Canada,Almond Choco,1/2/2024,11706,47
Rafaelita Blaksland,India,After Nines,2/3/2024,5256,201
Kelci Walkden,Australia,99% Dark & Pure,6/30/2024,3794,36
Dotty Strutley,Australia,Spicy Special Slims,1/17/2024,9655,97
Brien Boise,USA,Milk Bars,7/7/2024,16002,133
Mallorie Waber,New Zealand,Mint Chip Choco,1/31/2024,1386,104
Beverie Moffet,UK,99% Dark & Pure,10/8/2024,3822,122
Beverie Moffet,USA,Peanut Butter Cubes,8/18/2024,15722,351
Brien Boise,New Zealand,White Choc,6/15/2024,6287,340
Marney O'Breen,USA,Baker's Choco Chips,1/26/2024,9832,9
Kelci Walkden,USA,Spicy Special Slims,4/29/2024,90,73
Mallorie Waber,Canada,White Choc,3/3/2024,3800,71
Kaine Padly,Australia,Almond Choco,2/22/2024,4674,422
Oby Sorrel,USA,Smooth Sliky Salty,4/3/2024,4012,169
Dennison Crosswaite,India,Smooth Sliky Salty,7/7/2024,3430,9
Camilla Castle,New Zealand,Caramel Stuffed Bars,6/17/2024,4921,380
Jan Morforth,Canada,Caramel Stuffed Bars,2/8/2024,10050,118
Oby Sorrel,USA,Baker's Choco Chips,12/8/2024,8485,120
Madelene Upcott,New Zealand,Peanut Butter Cubes,1/28/2024,6030,351
Kelci Walkden,Australia,Orange Choco,4/29/2024,13332,443
Marney O'Breen,Australia,Manuka Honey Choco,5/4/2024,15246,233
Kaine Padly,Canada,Manuka Honey Choco,1/18/2024,11619,133
Jehu Rudeforth,UK,Baker's Choco Chips,5/16/2024,2630,98
Kelci Walkden,Australia,White Choc,8/24/2024,10089,168
Curtice Advani,India,85% Dark Bars,1/18/2024,308,402
Kaine Padly,USA,Eclairs,8/22/2024,7979,10
Gunar Cockshoot,UK,99% Dark & Pure,7/3/2024,8,84
Beverie Moffet,UK,Choco Coated Almonds,4/3/2024,3303,73
Dotty Strutley,Canada,Manuka Honey Choco,4/22/2024,13960,113
Kaine Padly,Australia,Milk Bars,9/6/2024,4251,91
Jan Morforth,Canada,Fruit & Nut Bars,7/25/2024,9886,217
Jan Morforth,India,Smooth Sliky Salty,3/8/2024,12864,93
Rafaelita Blaksland,Australia,Manuka Honey Choco,3/8/2024,5246,144
Jehu Rudeforth,UK,Milk Bars,3/5/2024,14346,219
Husein Augar,Canada,After Nines,1/19/2024,11462,288
Roddy Speechley,USA,50% Dark Bites,11/2/2024,11668,306
Van Tuxwell,India,Almond Choco,6/14/2024,7455,383
Kelci Walkden,USA,50% Dark Bites,3/23/2024,7204,234
Madelene Upcott,Canada,85% Dark Bars,2/17/2024,8082,105
Dennison Crosswaite,Canada,Smooth Sliky Salty,3/17/2024,2055,485
Mallorie Waber,Australia,Spicy Special Slims,6/29/2024,6476,304
Ches Bonnell,Canada,Choco Coated Almonds,8/24/2024,17490,289
Gigi Bohling,Canada,Spicy Special Slims,4/7/2024,13644,281
Roddy Speechley,New Zealand,Almond Choco,3/28/2024,2930,70
Curtice Advani,India,Smooth Sliky Salty,4/19/2024,22717,143
Ches Bonnell,New Zealand,Mint Chip Choco,1/18/2024,9472,248
Van Tuxwell,New Zealand,Fruit & Nut Bars,1/17/2024,3400,92
Andria Kimpton,New Zealand,Mint Chip Choco,2/15/2024,10696,201
Andria Kimpton,UK,Milk Bars,11/2/2024,17102,307
Camilla Castle,USA,Manuka Honey Choco,3/21/2024,18937,180
Gunar Cockshoot,New Zealand,Almond Choco,5/1/2024,6015,136
Brien Boise,India,Raspberry Choco,5/30/2024,7624,162
Jehu Rudeforth,USA,99% Dark & Pure,4/1/2024,2997,227
Beverie Moffet,Australia,Fruit & Nut Bars,4/22/2024,1719,260
Gigi Bohling,Canada,Milk Bars,10/2/2024,3523,114
Dotty Strutley,India,Spicy Special Slims,12/8/2024,1092,209
Gunar Cockshoot,USA,Organic Choco Syrup,10/8/2024,2496,310
Kelci Walkden,Australia,Raspberry Choco,7/6/2024,813,58
Jehu Rudeforth,India,Baker's Choco Chips,6/6/2024,2489,81
Karlen McCaffrey,New Zealand,Baker's Choco Chips,5/4/2024,5701,201
Wilone O'Kielt,USA,50% Dark Bites,4/18/2024,5084,126
Andria Kimpton,India,50% Dark Bites,1/31/2024,15789,16
Madelene Upcott,USA,Baker's Choco Chips,8/22/2024,6542,141
Jehu Rudeforth,Australia,99% Dark & Pure,2/25/2024,11409,217
Jan Morforth,Australia,Mint Chip Choco,2/22/2024,19258,99
Oby Sorrel,New Zealand,Milk Bars,12/1/2024,5075,201
Brien Boise,UK,Almond Choco,5/25/2024,116,120
Kelci Walkden,India,Smooth Sliky Salty,1/2/2024,2797,9
Rafaelita Blaksland,UK,Eclairs,4/27/2024,1608,75
Gigi Bohling,USA,Smooth Sliky Salty,7/22/2024,2961,133
Curtice Advani,New Zealand,Mint Chip Choco,1/26/2024,3704,260
Curtice Advani,USA,Mint Chip Choco,8/24/2024,5680,285
Madelene Upcott,New Zealand,Fruit & Nut Bars,1/18/2024,6764,20
Karlen McCaffrey,India,85% Dark Bars,3/30/2024,1109,87
Ches Bonnell,Australia,Caramel Stuffed Bars,1/17/2024,9477,160
Kelci Walkden,USA,Fruit & Nut Bars,2/17/2024,5302,155
Kelci Walkden,Canada,Peanut Butter Cubes,8/4/2024,8041,43
Gigi Bohling,Canada,Drinking Coco,6/7/2024,3716,89
Husein Augar,India,Fruit & Nut Bars,4/4/2024,4592,222
Jan Morforth,New Zealand,Organic Choco Syrup,2/3/2024,1928,217
Gigi Bohling,New Zealand,Raspberry Choco,9/8/2024,1225,186
Dennison Crosswaite,Australia,Milk Bars,9/6/2024,11327,296
Ches Bonnell,UK,Caramel Stuffed Bars,2/6/2024,3063,301
Van Tuxwell,USA,Fruit & Nut Bars,5/7/2024,7093,233
Andria Kimpton,Canada,Eclairs,11/8/2024,337,120
Madelene Upcott,India,Choco Coated Almonds,11/2/2024,3765,158
Kelci Walkden,New Zealand,Spicy Special Slims,11/8/2024,695,68
Roddy Speechley,Australia,Drinking Coco,12/5/2024,14610,111
Wilone O'Kielt,USA,Milk Bars,7/15/2024,5299,96
Andria Kimpton,India,Organic Choco Syrup,1/18/2024,4552,132
Madelene Upcott,UK,Fruit & Nut Bars,5/1/2024,9099,199
Curtice Advani,Australia,50% Dark Bites,6/29/2024,604,239
Brien Boise,Canada,Raspberry Choco,6/14/2024,3172,46
Gunar Cockshoot,India,Mint Chip Choco,8/8/2024,4737,74
Dennison Crosswaite,India,Mint Chip Choco,3/23/2024,15202,142
Barr Faughny,India,Caramel Stuffed Bars,4/1/2024,7913,106
Brien Boise,India,Milk Bars,2/22/2024,14191,269
Beverie Moffet,UK,Spicy Special Slims,2/17/2024,9327,259
Barr Faughny,USA,Almond Choco,3/2/2024,434,83
Van Tuxwell,Canada,Raspberry Choco,3/17/2024,1498,132
Wilone O'Kielt,Australia,Baker's Choco Chips,1/25/2024,3125,155
Brien Boise,Australia,Milk Bars,7/27/2024,2356,54
Husein Augar,Australia,Fruit & Nut Bars,1/28/2024,8548,55
Madelene Upcott,Australia,Organic Choco Syrup,5/7/2024,12094,52
Van Tuxwell,India,White Choc,3/15/2024,2119,46
Gunar Cockshoot,Canada,After Nines,4/8/2024,3038,220
Jan Morforth,USA,Fruit & Nut Bars,6/27/2024,5188,382
Jan Morforth,Canada,After Nines,7/13/2024,5385,180
Barr Faughny,New Zealand,Manuka Honey Choco,2/24/2024,6575,249
Karlen McCaffrey,New Zealand,85% Dark Bars,6/28/2024,6350,59
Oby Sorrel,Australia,85% Dark Bars,6/30/2024,7488,28
Curtice Advani,Canada,Choco Coated Almonds,8/18/2024,6998,7
Kaine Padly,India,70% Dark Bites,1/24/2024,13082,324
Beverie Moffet,USA,White Choc,11/3/2024,5965,136
Ches Bonnell,New Zealand,After Nines,6/23/2024,6651,377
Husein Augar,India,Spicy Special Slims,8/22/2024,2606,31
Gunar Cockshoot,Canada,50% Dark Bites,4/1/2024,3616,24
Curtice Advani,India,Milk Bars,5/4/2024,3658,210
Beverie Moffet,India,Milk Bars,4/15/2024,1997,314
Husein Augar,Australia,White Choc,11/5/2024,3619,213
Andria Kimpton,Canada,Manuka Honey Choco,7/21/2024,5539,492
Jan Morforth,New Zealand,Orange Choco,11/2/2024,1382,86
Andria Kimpton,Canada,Smooth Sliky Salty,8/7/2024,1224,81
Gunar Cockshoot,UK,Raspberry Choco,11/8/2024,8043,344
Husein Augar,New Zealand,After Nines,4/8/2024,6878,7
Andria Kimpton,New Zealand,Orange Choco,6/14/2024,9420,94
Dennison Crosswaite,UK,Baker's Choco Chips,1/17/2024,2516,293
Jehu Rudeforth,Canada,Orange Choco,6/23/2024,4335,529
Jehu Rudeforth,UK,Smooth Sliky Salty,8/24/2024,1588,111
Andria Kimpton,UK,Caramel Stuffed Bars,7/6/2024,8959,271
Jan Morforth,UK,White Choc,6/22/2024,9409,46
Dotty Strutley,USA,Fruit & Nut Bars,7/13/2024,3316,268
Kelci Walkden,UK,Choco Coated Almonds,5/24/2024,10921,210
Gunar Cockshoot,New Zealand,After Nines,9/8/2024,7606,154
Kaine Padly,Canada,85% Dark Bars,6/4/2024,1860,33
Jan Morforth,New Zealand,Manuka Honey Choco,7/28/2024,1744,259
Gunar Cockshoot,New Zealand,Raspberry Choco,8/24/2024,758,57
Van Tuxwell,Australia,99% Dark & Pure,1/17/2024,125,138
Curtice Advani,USA,Drinking Coco,7/2/2024,6171,149
Brien Boise,Australia,Spicy Special Slims,9/5/2024,6867,273
Mallorie Waber,New Zealand,85% Dark Bars,6/6/2024,8775,113
Wilone O'Kielt,USA,Choco Coated Almonds,6/6/2024,10423,6
Beverie Moffet,New Zealand,Organic Choco Syrup,5/24/2024,7402,231
Gunar Cockshoot,UK,50% Dark Bites,1/13/2024,2498,129
Marney O'Breen,USA,Raspberry Choco,5/23/2024,6874,152
Jehu Rudeforth,UK,White Choc,6/29/2024,2016,304
Jehu Rudeforth,New Zealand,85% Dark Bars,11/3/2024,8078,95
Dotty Strutley,USA,85% Dark Bars,4/25/2024,11149,538
Rafaelita Blaksland,Australia,Smooth Sliky Salty,5/30/2024,4739,236
Curtice Advani,India,Manuka Honey Choco,5/23/2024,1845,185
